Ward,Place_Name,Place_ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Chiyoda,Fujidana,ChIJVy3nmeGLGGARp_nCDwYm0c0,5,10,0,5,9,2,19,1,2,7
Chiyoda,Crane Fountain,ChIJhxcV4MGLGGARopLeXlAS9tY,2,4,0,3,2,8,17,3,0,7
Chiyoda,Godzilla Statue,ChIJj9FCzO-LGGARv0qenUaDws4,4,6,2,3,5,8,17,3,4,6
Chiyoda,Edo Castle keep restoration model,ChIJ93STsrqNGGAReyjjarHT2cg,1,4,0,3,4,2,25,1,1,2
Chiyoda,Gin no Suzu,ChIJ9-LJdPyLGGARZeSwNOHJv3I,0,2,0,1,3,2,4,1,2,4
Chiyoda,Former Tokyo Central Postmasters Office,ChIJH5qNNPqLGGAReFR56HZUyfs,0,1,0,0,2,2,12,0,2,3
Chiyoda,Remains of Tokyo Prefectural Office,ChIJP0Kk4PqLGGARJ3adoHhSblc,3,1,0,4,1,7,7,1,0,4
Chiyoda,休憩所,ChIJ2TLQa_qNGGARykotPhNhxzk,1,1,0,0,1,0,5,0,0,3
Chiyoda,Ōtemon Gate,ChIJ7-cJ_wiMGGAR_wayVide6uo,3,9,0,5,7,9,36,2,3,27
Chiyoda,Imperial Palace Main Gate Stone Bridge Decorative Lamp,ChIJgzwL_QuMGGAR6xGd6K4fYGk,5,2,0,5,7,7,29,0,4,8
Chiyoda,Bambinart Gallery,ChIJ8QD2sh-MGGAR1LiPsPUSBXg,1,2,2,1,2,3,7,2,2,3
Chiyoda,Yanagimori Shrine,ChIJS2dPOKiOGGAREfQsUq73wP0,3,7,2,3,7,8,21,1,1,17
Chiyoda,Otamagaike Pond Site,ChIJ1abH0vyLGGARoSlvRMJ3JuM,0,5,1,5,5,8,18,5,5,9
Chiyoda,Horin Park,ChIJ58mpjx6MGGARseWnPsaMkNI,0,12,2,3,13,8,28,1,4,13
Chiyoda,Myojin Otokozaka Stair,ChIJFSnzsB6MGGARnojVfoqkXW4,1,3,0,0,1,3,6,1,0,5
Chiyoda,Kanda Myoujin Shrine,ChIJ7RsWzB6MGGARi3xBv7bkl_M,0,9,1,0,18,2,33,1,10,17
Chiyoda,Ogawa Hiroba,ChIJd2lidxCMGGARqEE0ey3opTo,2,16,0,4,7,4,22,1,1,6
Chiyoda,3331 Arts Chiyoda,ChIJWUPQrR-MGGARa622uywYz2E,3,20,2,2,19,4,43,11,14,19
Chiyoda,Manseibashi Station Remains,ChIJF-kS1ByMGGARfX9TAILqL3w,1,7,0,0,6,2,17,1,4,5
Chiyoda,Izumi Bridge,ChIJod60-KiOGGARzcq38CBviUQ,6,3,5,4,4,10,11,4,3,4
Chiyoda,Site of Sakuma Bridge,ChIJDRpmZ6iOGGAR6hdWLVhNFmw,0,4,0,2,1,2,11,2,0,2
Chiyoda,Akihabara Park,ChIJpQd7ZqiOGGARsRs2aimeHl4,2,4,2,1,3,1,9,3,1,3
Chiyoda,秋葉原歩行者天国,ChIJD7xVrNuNGGARTGvk1WfwdnI,2,3,1,2,2,8,5,2,1,3
Chiyoda,日本文化体験 庵an東京  AN TOKYO Japanese Culture Experience,ChIJ4e0xtBOPGGARctrNeHiaubE,1,13,1,4,15,6,36,3,12,12
Chiyoda,Akihabara Electric Town,ChIJZzSYoB2MGGARfBcicn7sx28,0,13,0,4,3,5,25,1,0,8
Chiyoda,Awaji Park,ChIJb_7IaRuMGGARavmrYh6B_5w,0,1,0,0,2,0,4,1,1,2
Chiyoda,YKK,ChIJz3TS9aaOGGARwdZXzammqSQ,3,11,2,4,11,6,31,2,6,8
Chiyoda,Remains of Kanda Hatchobori,ChIJ_3lj4aqOGGAR-qABtwqYCpE,1,11,2,9,2,10,17,4,4,11
Chiyoda,Hill of Ghost,ChIJ8xqjvhuMGGAR8vSlKVW80l0,6,11,5,9,9,6,18,7,6,14
Chiyoda,Park Gallery,ChIJ76X9mh6MGGAR_fhLJ312wT0,0,4,0,0,5,0,11,3,6,3
Chiyoda,Kobaizaka Slope,ChIJL3baNBqMGGARpWtITdtR87g,0,3,0,3,0,1,6,0,0,2
Chiyoda,Shusse Fudoson,ChIJVVW4TAGMGGARV7MjXGiZD1E,3,3,3,6,2,7,12,2,5,5
Chiyoda,Mikura Bridge,ChIJlXGmj66OGGARxNIcdlKKjCE,1,2,1,3,1,3,6,2,0,4
Chiyoda,Chiyoda Kuritsu Izumi Park,ChIJdScsSK-OGGARzKMrlFcqwN4,1,9,2,1,6,4,10,1,5,7
Chiyoda,Ryukan Childrens Park,ChIJUxjq76yOGGARBhZMImQywT8,0,1,0,1,1,5,5,0,2,1
Chiyoda,Hijiri Bridge,ChIJi3JUZACNGGARXyYn0j7sCkE,1,17,0,3,8,8,13,2,6,5
Chiyoda,Uchikanda Ojima Park,ChIJrdkPmgaMGGARxBYfVzVugQA,4,5,2,1,6,9,19,1,2,6
Chiyoda,Miyamoto Park,ChIJ14jFJxmMGGARblOZ2P33sIA,0,2,0,0,3,1,4,1,1,2
Chiyoda,Meiji University Museum,ChIJ62acTxeMGGARUmcrd2EKsVw,5,10,4,7,7,13,24,5,5,9
Chiyoda,Chiyoda Kuritsu Rensei Park,ChIJb71bVh-MGGARGsNeiT5iYb0,0,5,1,2,8,5,14,3,4,5
Chiyoda,Gakushuin noble school original location,ChIJTy7HmgWMGGAR3ph7B88dXF0,1,2,0,1,2,1,8,2,1,6
Chiyoda,Catholic Kanda Church,ChIJERbV3hWMGGARUPwaYY_9TE8,0,7,1,0,9,2,13,1,1,11
Chiyoda,Misaki Inari Shrine,ChIJB7nCrj-MGGARrERpWjP8hhU,0,3,0,0,3,1,4,1,1,2
Chiyoda,I Am a Cat Memorial,ChIJbwEz1RCMGGARe2Er6xR2kSA,0,2,0,0,3,1,9,1,1,7
Chiyoda,Univ of Tokyos Founding Place,ChIJPSkYwxGMGGARubzYRoItzTM,3,7,0,1,3,4,15,0,2,9
Chiyoda,Kinka Park,ChIJcdybLheMGGARHDlzS-Sfd_M,0,10,0,0,7,2,12,0,3,8
Chiyoda,Birthplace of Tokyo Foreign Language School,ChIJSYA74BGMGGARkRotyQ791LY,1,2,0,0,6,1,8,0,1,7
Chiyoda,猿楽町町会詰所,ChIJSZbFYdKNGGARZ-jte6LxH5s,0,5,0,6,4,1,19,0,2,12
Chiyoda,東京音楽大学発祥の地,ChIJDbND9xaMGGARjeHlRxwfqqQ,3,1,0,0,3,3,12,3,1,6
Chiyoda,Aku You Memorial Museum,ChIJLxsaTxeMGGARPiuFcX6fnkw,2,4,1,4,6,5,21,2,6,8
Chiyoda,Site of Kikaiyu Public Bath,ChIJAQBsCRaMGGARVdVDFs7twkE,1,7,1,0,1,2,9,0,1,2
Chiyoda,気象庁旧生物季節観測の木々,ChIJr6pkHMaNGGARMvwb5D2D2XQ,3,6,3,0,9,1,14,0,4,5
Chiyoda,Hirakawamon Gate,ChIJTajifQ6MGGAR7Hm1Kn2631A,4,7,1,4,4,9,18,3,3,20
Chiyoda,大手濠緑地,ChIJX8XwHw-MGGARDTEeZ7G1byo,1,2,0,2,2,1,11,0,2,6
Chiyoda,Statue of Wake no Kiyomaro,ChIJi5nZHw-MGGARjf6RhUw_QjM,0,1,0,0,2,1,7,0,0,2
Chiyoda,Kiyomaro Park,ChIJl3SFqg-MGGAR79DUKqYHfuk,0,4,0,0,3,3,9,1,2,4
Chiyoda,Kanda Bridge,ChIJE4T6bQaMGGARcTdzr5G5rJ8,2,1,0,2,1,3,11,1,0,2
Chuo,Sukiyabashi Park Young Clock Tower,ChIJV8P5fO-LGGAR6Qn-vWMmKO0,1,6,1,0,2,2,10,0,2,4
Chuo,Ozu History Museum,ChIJUduh6VSJGGARqpH5415dX-U,1,7,0,1,8,2,23,2,5,5
Chuo,Tokiwa Park,ChIJHSZQjwCMGGARRvkZQ4vk8kg,1,3,0,2,1,7,7,2,6,1
Chuo,Fukutoku Shrine,ChIJw9uzC1WJGGARnZWYZveSJFc,2,18,1,4,17,5,35,1,10,23
Chuo,Mitsui Fukutoku Garden,ChIJCSL5CFWJGGAR1n5EJ99hzXs,0,4,0,3,5,0,7,1,2,4
Chuo,Daiichi Sankyo Medicine Museum,ChIJRR8sH1WJGGARgBXf6qT_viE,1,6,0,2,3,1,13,0,3,6
Chuo,銅鐘 石町時の鐘都指定文化財,ChIJG4v3UKuOGGARWfQ97VLIqfE,5,9,1,7,4,6,14,3,2,6
Chuo,Jisshi Park,ChIJAQBTVquOGGARLx6I1rPxg4s,3,9,2,1,8,4,14,1,6,7
Chuo,Kodenmacho Prison Museum,ChIJ2zLvTauOGGAR6Ofe6rSxsRo,6,8,1,7,6,7,28,7,3,10
Chuo,Remains of the Kodenmacho Prison,ChIJi08pVKuOGGARJSwjsbWHEyo,1,1,1,0,1,4,6,2,1,2
Chuo,江戸伝馬町処刑場跡の碑,ChIJi9-KVauOGGARtSMNz-dDObk,11,2,1,12,2,17,17,12,3,10
Chuo,龍閑橋親柱橋桁,ChIJ80l85gCMGGARE4zbDJk-z0A,2,5,1,1,2,4,19,1,0,12
Chuo,Ryukansakura Bridge,ChIJFcFclQCMGGARPH0DpAtwueY,0,4,1,1,3,1,8,3,1,5
Chuo,日本橋室町スチーム時計,ChIJHysNjO2LGGARrcRZ3rRLkeo,0,12,0,0,2,1,13,1,0,4
Chuo,Saemon Bridge,ChIJ1xPb8K2OGGARleis8lZGsEk,0,2,0,0,2,0,2,0,0,2
Chuo,Musée Hamaguchi Yozo Yamasa Collection,ChIJwbcTWUSJGGAR8JUnuMdbkss,1,11,1,2,10,9,28,6,5,6
Chuo,Koami Shrine,ChIJmY9L9lCJGGAR3ydy0pQ5y8A,6,18,2,4,23,7,34,2,13,22
Chuo,Genyadana Monument,ChIJX-v6wVGJGGARHoZj0mmV-vQ,0,4,0,2,2,2,17,2,4,8
Chuo,Koamicho Childrens Park,ChIJM8w-7lCJGGAReRyMLnFUO1s,2,5,1,0,5,3,14,1,5,9
Chuo,Suitengu Shrine,ChIJ6TXOcUWJGGAR2GRhafOUp0I,1,13,0,6,17,4,38,1,9,12
Chuo,Ōkannonji Temple,ChIJb8SfLVCJGGARiU1Jtv-uHps,2,4,1,4,2,3,12,2,3,5
Chuo,Hakozakigawa Daini Park,ChIJ93sW60SJGGARzc8c12fS4L0,2,5,2,2,2,4,5,5,4,2
Chuo,Yagenbori Fudōin,ChIJAUC44EyJGGAREQhz3L_zRf8,2,3,0,2,2,4,11,0,2,3
Chuo,Seishōkōji,ChIJa7igyEiJGGARtkrOqIK2NWo,3,3,2,1,5,6,10,0,4,9
